Dates,News
17-07-2017,Gold prices tip slightly higher after Empire state data
15-03-2018,bloomberg : fed hikes to even out the price gap between gold and bitcoin
05-01-2017,Gold futures settle at a 5-week high
07-07-2017,Gold drops to settle at 4-month low after solid U.S. jobs report
18-12-2017,"charts : gold: vulnerable, faces pullback risk"
15-06-2018,"Gold rebounds to Rs 32,190 on firm global cues"
12-05-2017,"Gold prices settle higher, gain a few cents for the week"
16-01-2018,gold notches highest close since early september
19-03-2018,gold prices inch lower as investors expect fed to raise rate
09-11-2017,india gold demand seen falling to lowest in 8 years in 2017: wgc
04-12-2017,"Feb. gold settles at $1,277.70/oz on Comex, down $4.60, or 0.4%"
28-06-2017,Gold ends higher as dollar extends weakness
15-01-2018,Gold Prices Remain Supported at 4-Month Peak
20-06-2018,south korea lobbies india to relax gold import restrictions
25-01-2018,"feb. gold climbs $6.60, or 0.5%, to settle at $1,362.90/oz"
07-08-2017,"December gold settles up 10 cents, or less than 0.1%, at $1,264.70/oz."
28-03-2017,Gold prices trade lower as U.S. dollar finds support
06-02-2018,puregold offers first payment gateway using cryptocurrency supported by gold
30-10-2017,gold edges down on caution ahead of key central bank meetings
19-04-2018,gold retreats a day after settling at a one-week high
13-03-2017,Gold settles higher to end streak of losses
28-09-2017,Gold edges up from a 6-week low
09-10-2018,"saxo bank : gold held down by yuan, yields"
29-06-2017,"August gold falls $4.20, or 0.3%, at $1,245/oz."
03-05-2017,Gold futures mark lowest settlement since April 5
24-01-2018,gold jumps back to 4-month tops on weaker usd
11-09-2017,"Gold ends lower as Korea, hurricane fears fade"
06-06-2018,volatility : unbelievable analogy in gold & silver
20-07-2017,Gold prices maintain early losses after ECB decision
09-05-2018,Gold prices dip as dollar rises on higher US Treasury yields
28-12-2017,"gold rallies more, climbs rs 175 on jewellers' buying"
22-02-2017,Gold settles 0.5% lower ahead of FOMC minutes as dollar gains
26-07-2018,more than 100 south african gold miners treated for smoke inhalation
08-11-2017,Gold settles at a three-week high
06-04-2018,"gold notches daily, weekly gain as trade jitters roil stocks, dollar"
28-07-2017,"china's first-half gold output falls, consumption up"
14-12-2017,"Gold futures climb to Rs 28,398 on firm global cues"
15-03-2017,"Gold settles lower, then climbs after Fed decision to raise interest rates"
22-11-2018,Gold futures up Rs 34 as participants create position
28-02-2017,"April gold falls $4.90, or 0.4%, for the session to settle at $1,253.90/oz"
15-06-2017,Gold holds sharp loss after industrial-output report
11-10-2018,"Gold prices edge higher as global stocks sag, US dollar slips"
12-05-2017,"Gold holds modest gain after retail sales, CPI"
18-04-2018,Akshay Tritiya 2018 | Bearish on gold in FY19 due to general assembly elections: Sunand Subramaniam
28-04-2017,"reduce import duty on gold, says niti aayog"
23-08-2017,"Profit-booking, weak global cues pull gold futures down to Rs 29,078"
10-09-2018,italy : huge hoard of roman gold coins discovered in italian theater basement
13-06-2018,Gold prices are expected to be volatile today: Angel Commodities
25-04-2018,"Gold falls on dollar's strength, easing N. Korea tensions "
13-02-2018,commerzbank : gold etf holdings post weekly decline of 21 tons
06-11-2017,"gold edges down as firmer dollar, fed rate hike concerns weigh"
17-08-2017,Gold pares gains as U.S. dollar strengthens
08-03-2018,Gold futures extend gains
04-07-2018,iran police arrests dealer in possession of 2 tons of gold coin
17-01-2018,"gold prices fall in asia on profit taking, mild dollar rebound"
06-04-2018,standard chartered : gold/silver ratio fundamentals favor for silver prices
14-11-2017,Gold prices pare decline as U.S. dollar index nears session lows
24-05-2017,Gold prices gain in Asia after Fed minutes set dovish tone
27-03-2017,Gold futures log highest settlement since late February
14-06-2018,Gold slips as Fed signals two more rate raises
13-06-2017,"Gold falls to Rs 28,957 at futures trade"
11-10-2017,Gold prices trade little changed from settlement level after FOMC minutes
07-10-2017,"festive buying, global cues lift gold rate by rs 100"
19-09-2017,"gold, silver inch higher ahead of us fed meet"
13-05-2018,iran targets gold coin 'bubble' as us quits nuclear deal
03-02-2017,"April gold finishes modestly higher, up $1.40, or 0.1%, at 1,220.80/oz."
22-03-2018,"Commodities@Moneycontrol: Global trade war concerns raise appetite for gold, prices hit two-week high"
08-08-2018,peter schiff : gold prices to jump after us loses trade war & its debt bubble blows
14-11-2018,Gold Rate Today: Gold futures weaken by Rs 86/ 10 grams
08-06-2018,sharps pixley: chinese gold demand continues to rise yoy
06-08-2018,"Gold dips on stronger dollar, speculative selling"
21-02-2017,"gold, silver trade lower in early trade on profit booking"
07-04-2017,"June gold settles $4, or 0.3%, higher at $1,257.30/oz."
02-05-2017,"gold ends higher, shakes off 3-week lows as investors await fed meeting outcome"
11-01-2017,"Feb. gold up $9.50, or 0.8%, to $1,195/oz ahead of Comex settlement"
01-07-2018,"charts : if gold breaks this trend, watch your position"
13-08-2018,"gold falls below $1,200 for the first time since march 2017"
22-08-2017,"gold slides, palladium hits highest level since 2001"
24-05-2018,"Gold loses sheen, silver declines on subdued offtake"
06-10-2017,Gold prices end the week with a loss of 0.8%
18-08-2017,"Gold futures rise to Rs 29,270 per 10 gm"
04-12-2017,gold dips as dollar shines after us senate clears tax bill
01-11-2017,Gold holds gain after ADP private-sector jobs report
26-01-2018,world gold council : cryptocurrencies are no substitute for gold
15-02-2017,Gold futures slip into the red after economic data
20-01-2017,Gold futures gain 0.7% for the week
21-11-2017,gold edges higher; all eyes on fed minutes
14-02-2018,Gold Prices Fall In Asia As Chinese New Year Holidays Start
20-03-2017,"April gold settles at $1,234/oz, up $3.80, or 0.3%"
10-09-2018,"gold falls, as a persistently strong dollar finds fresh impetus"
09-08-2018,"december gold ends about 0.1% lower at $1,219.90/oz."
30-12-2017,"gold, silver end 2017 on a high; post annual gains"
19-07-2017,"August gold tacks on a dime to settle at $1,242/oz"
26-07-2017,"gold, silver down ahead of us fed outcome"
20-11-2017,gold holds near one-month peak despite firmer dollar
22-03-2018,saudia arabia : 'saudization' translates into scarcity of salesmen at riyadh gold souk
26-10-2017,Gold slips slightly after ECB policy upate
08-11-2018,"december gold prices off 0.3% at 1,224.90/oz."
24-08-2018,why hasn't gold bounced as risks have risen?
04-08-2017,"Gold ends day, week lower as dollar climbs on hiring strength"
23-10-2017,"Profit-booking, weak global cues pull gold futures down to Rs 29,478"
05-09-2018,gold prices may fall further after breaking chart support
28-04-2017,"Gold prices up about 1.3% for the month, but lose 1.6% on week"
16-02-2017,Dollar slide sends gold futures higher
28-11-2018,european investors opt for gold
05-07-2017,Gold prices edge up in electronic trading after release of Fed meeting minutes
20-06-2017,Gold ends at 5-week low as Fed comments fuel bets on further interest-rate hikes
11-01-2019,Gold futures up Rs 120 on positive global cues
18-08-2017,"gold rises in morning trade, silver down"
07-02-2018,"april gold down $14.90, or 1.1%, to settle at $1,314.60/oz"
08-08-2017,Gold prices end lower after job-market snapshot lifts dollar
27-01-2017,"February gold down $4, or 0.3%, at $1,185.80/oz."
21-09-2018,central bank demand for gold reaches 3-year high
03-08-2017,gold prices drift further away from 7-week highs as dollar firms
23-01-2018,natixis : gold needs to break 1347 to extend recovery
16-06-2018,"gold falls amid 'trade war' tumult, silver back under $17"
10-11-2017,Gold holds loss after consumer-sentiment reading
04-01-2017,Gold holds ground at more than 3-week high after FOMC minutes
05-09-2018,"Gold drops as trade, emerging market worries lift dollar"
11-01-2017,Gold futures turn a bit higher as U.S. dollar index pares some gains
18-12-2018,"bullionvault : 2-3 year bull market in gold bullion 'to start late-2019' on dollar decline, end of fed rate hikes"
14-09-2017,Commodities - Gold Prices Move Lower as U.S. Dollar Strengthens
05-07-2017,"Gold settles higher, then pulls back after U.S. Fed meeting minutes"
29-06-2018,Gold set to post sharpest monthly fall in 19 months
31-08-2017,gold eases as dollar gains on strong economic data
04-09-2017,"gold hits 2017 high on n korea's nuclear test, at rs 30,600"
26-02-2017,"gold prices gain slightly in asia as fed, trump eyed"
12-12-2018,"dgcx, ibmc to hold uae africa gold convention"
10-04-2017,Gold settles with a loss after failed rebound attempt
07-09-2017,"Dec. gold gains $11.30, or 0.8%, to settle at $1,350.30/oz"
10-01-2018,frank holmes : the case for gold 2018
15-02-2018,gold gains in asia as weak dollar supports buying in holiday-thinned trade
29-05-2017,Gold holds near 4-week high; political tensions support
20-03-2018,"india : panel gold spot exchange iibs, organised by ibja"
30-03-2017,"Gold settles lower, unable to shake off strengthening dollar"
20-08-2018,"Gold futures rise to Rs 29,461 on positive global cues "
03-05-2017,gold price: find all the latest trends and news about the yellow metal
06-09-2018,why are the banks long gold and silver futures?
05-10-2017,Gold edges higher on bargain-hunting
18-04-2018,Akshaya Tritiya 2018 | Better to invest in MF schemes and blue chip firms than gold during global turmoil
10-02-2017,Gold pares some losses to settle with a modest decline
30-11-2018,gold futures up about 0.9% for the month
17-01-2018,"dollar plunges to weakest since 2014 - cable, euro, gold surge"
18-04-2017,"june gold settles at $1,294.10/oz, up $2.20, or 0.2%"
29-06-2017,"Gold futures rise to Rs 28,600 on firm global cues"
23-06-2018,"Gold, silver prices fall on weak global cues"
14-12-2018,italy hits multi-million-dollar gold smuggling operation
12-04-2017,Gold makes sharp gains in electronic trading as dollar weakens
21-11-2017,"gold rate today: gold, silver edge up in morning trade"
14-11-2018,"december gold up 0.1% at 1,202.60/oz."
24-01-2018,"Gold futures rise to Rs 29,920 on firm global cues"
07-07-2017,Gold prices down a fifth week in a row; silver drops to lowest in over a year
16-11-2017,"Gold higher after jobless claims, other economic data"
27-10-2018,"Gold hits 6-year high of <U+20B9>32,625/per 10 grams this week "
27-09-2018,gold hits a one-month low
30-01-2017,Biggest gold ETF gets a sequel that removes dollar headwind
01-08-2017,"Gold settles up $6, or 0.5%, at $1,279.40 an ounce"
14-03-2017,"Gold slips, but holds ground above $1,200 ahead of Fed interest-rate decision"
04-05-2017,Gold settles at lowest price in 7 weeks
07-08-2017,gold steady as dollar holds gains made after us jobs data
15-08-2017,Gold imports jump over 2-fold to $13.35 bn in Apr-July
26-10-2018,charts : gold retreats but finds support near $1230
07-04-2017,"Gold pares sharp early gains, but finishes higher, to book fourth straight weekly advance"
18-08-2017,"Dec. gold down 80 cents, or less than 0.1%, to settle at $1,291.60/oz"
14-08-2017,BSE's IndiaINX to commence gold options from Aug 30 at GIFT IFSC
24-08-2018,"Gold rises to Rs 30,650 on firm global cues, spot demand"
10-08-2017,Gold adds to gains after economic reports
09-10-2017,gold gains amid renewed north korea fears
29-11-2018,"gold rises on fed comments, palladium hits record"
04-05-2017,india's gold demand up 15% to 123.5 tonne in q1 2017: world gold council
08-12-2017,"gold slides back closer to over 4-month lows, focus remains on nfp"
13-04-2017,"June gold up $10.40, or 0.8%, to settle at $1,288.50/oz"
10-11-2017,india : gold loses its glitter
22-06-2017,Gold rises as oil price slump boosts safe haven demand
24-11-2017,"Gold slightly lower after manufacturing, services reports"
28-09-2018,emirates nbd expects gold to correct further from current levels
22-05-2017,gold to trade in 28395-28905: achiievers equities
14-09-2018,china : state-owned miner shandong gold plans us$768 million in hong kong initial public offering
01-02-2017,"April gold down $3.10, or 0.3%, to settle at $1,208.30/oz"
30-06-2017,Gold pares early losses slightly after personal-income and spending report
05-10-2017,"Gold holds modest gain after jobless claims, trade deficit"
02-08-2017,Gold holds near 7-week high on weak US economic data
04-04-2018,"june gold holds firm gain, up 0.7% at $1,346.70/oz., after markit services report"
28-12-2017,Gold hits 1-month high as dollar weakens further
10-09-2018,"gold prices mixed amid trade worries, rate hike views"
09-03-2017,Gold holds early loss as ECB keeps monetary policy unchanged
16-02-2018,etfs : funds add 27.6t of gold in january
17-10-2017,Gold logs lowest finish in over a week
06-03-2018,what's up with gold?
20-09-2017,Gold slips in electronic trade as Fed announces details on balance sheet reduction
28-07-2017,gold steadies after slipping from six-week high
08-08-2018,"Gold futures up at Rs 29,670 per 10 gm"
28-08-2018,gold price framework: the energy side of the equation suggests
20-07-2018,video : how much gold is there in the world?
06-11-2017,"Gold edges down as firm dollar, Fed rate hike concerns weigh"
23-08-2018,adrian day : take advantage of gold's capitulation to buy
10-09-2018,russia buys gold to weaken us dollar after trump tweets about its strength
19-05-2018,"Gold falls below Rs 32,000-mark on global cues, low demand"
